city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Axtla de Terrazas,21.4393,-98.8721,Mexico,MX,San Luis Potosí,minor,,
Omealca,18.7473,-96.7852,Mexico,MX,Veracruz,minor,,
Caxhuacán,20.0636,-97.6069,Mexico,MX,Puebla,minor,,
Tianguismanalco,18.9762,-98.4486,Mexico,MX,Puebla,minor,,
Huautla de Jiménez,18.1315,-96.8409,Mexico,MX,Oaxaca,minor,,
Queréndaro,19.8095,-100.8906,Mexico,MX,Michoacán de Ocampo,minor,,
Rosamorada,22.1221,-105.2064,Mexico,MX,Nayarit,minor,,
Frontera Hidalgo,14.7774,-92.1774,Mexico,MX,Chiapas,minor,,
San Matias Tlalancaleca,19.3253,-98.4967,Mexico,MX,Puebla,minor,,
Atzacan,18.9072,-97.0831,Mexico,MX,Veracruz,minor,,
Atlixtac,17.5667,-98.8833,Mexico,MX,Guerrero,minor,,
Ahuacuotzingo,17.7000,-98.9167,Mexico,MX,Guerrero,minor,,
Tepeaca,18.9669,-97.8998,Mexico,MX,Puebla,minor,,
San Juan Huactzinco,19.2333,-98.2500,Mexico,MX,Tlaxcala,minor,,
Xalpatlahuac,17.4667,-98.6167,Mexico,MX,Guerrero,minor,,
Tamasopo,21.9225,-99.3925,Mexico,MX,San Luis Potosí,minor,,
Jalacingo,19.8000,-97.3000,Mexico,MX,Veracruz,minor,,
Ciudad Gustavo Díaz Ordaz,26.2319,-98.5956,Mexico,MX,Tamaulipas,minor,,
Rafael J. García,19.2541,-97.1832,Mexico,MX,Puebla,minor,,
Acatlán,19.6968,-96.8422,Mexico,MX,Veracruz,minor,,
Tlahuitoltepec,17.0931,-96.0644,Mexico,MX,Oaxaca,minor,,
Almoloya de Juárez,19.3704,-99.7572,Mexico,MX,México,minor,,
Arteaga,18.3578,-102.2912,Mexico,MX,Michoacán de Ocampo,minor,,
Ixhuatán,17.2934,-93.0083,Mexico,MX,Chiapas,minor,,
La Magdalena Tlaltelulco,19.2667,-98.2000,Mexico,MX,Tlaxcala,minor,,
Colón,20.7833,-100.0500,Mexico,MX,Querétaro,minor,,
Copala,16.6500,-98.9833,Mexico,MX,Guerrero,minor,,
Soyaló,16.8913,-92.9243,Mexico,MX,Chiapas,minor,,
Villa Jiménez,19.9240,-101.7463,Mexico,MX,Michoacán de Ocampo,minor,,
Jesús Carranza,17.4353,-95.0264,Mexico,MX,Veracruz,minor,,
Zumpahuacán,18.8364,-99.5786,Mexico,MX,México,minor,,
